holding_of_birth,sexe,period,mean_age_at_death,nb_animals
FR7110,1,2013-05,664.0,1
FR7111,1,2012-08,596.0,1
FR7112,1,2013-03,728.0,2
FR7113,1,2012-03,643.0,1
FR7113,1,2012-04,639.0,1
FR7113,1,2012-05,599.0,1
FR7113,1,2012-06,567.0,1
FR7114,1,2012-03,647.0,1
FR7115,1,2013-04,689.0,1
FR7116,1,2013-03,723.5,2
FR7119,1,2012-04,619.0,2
FR7119,1,2012-05,591.0,1
FR7119,1,2012-06,569.0,2
FR7120,1,2012-05,583.0,1
FR7122,1,2012-06,568.0,1
FR7123,1,2013-03,708.0,2
FR7123,1,2013-04,702.0,1
FR7131,1,2012-07,629.0,1
FR7132,1,2012-06,656.0,1
FR7132,1,2012-07,540.0,2
FR7132,1,2012-08,583.0,1
FR7132,1,2012-09,569.0,1
FR7134,1,2011-11,778.0,1
FR7134,1,2012-10,1019.0,1
FR7135,1,2011-06,658.0,1
FR7135,1,2011-09,562.0,1
FR7135,1,2011-10,593.5,6
FR7135,1,2011-11,556.0,1
FR7135,1,2011-12,573.333333333333,3
FR7135,1,2012-01,509.0,1
FR7135,1,2012-03,523.0,2
FR7135,1,2012-04,496.0,1
FR7135,1,2012-09,703.0,2
FR7135,1,2012-10,711.8,5
FR7135,1,2012-11,722.0,2
FR7135,1,2012-12,695.0,1
FR7135,1,2013-02,725.0,1
FR7135,1,2013-09,705.2,5
FR7135,1,2013-10,628.5,8
FR7135,1,2013-11,695.5,2
FR7135,1,2014-01,637.0,1
FR7135,1,2014-04,719.0,1
FR7135,2,2009-09,1282.0,1
FR7135,2,2010-09,1114.0,1
FR7135,2,2010-11,1320.0,2
FR7135,2,2011-09,1375.0,1
FR7135,2,2011-10,1317.75,4
FR7135,2,2011-11,1327.0,1
FR7135,2,2012-01,1270.0,1
FR7135,2,2012-09,1066.66666666667,3
FR7135,2,2012-10,1065.0,1
FR7135,2,2012-11,1346.0,1
FR7135,2,2013-07,1025.0,1
FR7135,2,2013-12,857.0,1
FR7136,1,2007-02,3266.0,1
FR7138,1,2008-12,1616.0,1
FR7139,1,2011-03,1694.0,1
FR714,1,2010-02,2310.0,1
FR7140,1,2011-12,609.0,3
FR7140,1,2012-01,579.0,1
FR7140,1,2012-02,567.777777777778,9
FR7140,1,2012-03,586.0,11
FR7140,1,2012-04,542.5,2
FR7140,1,2012-05,511.0,2
FR7140,1,2012-12,26.0,1
FR7140,1,2013-01,435.0,2
FR7140,1,2013-02,658.0,1
FR7140,1,2013-03,257.0,1
FR7140,1,2013-04,260.0,1
FR7140,1,2013-12,489.5,2
FR7140,1,2014-01,604.5,2
FR7140,1,2014-02,661.75,4
FR7140,1,2014-03,307.0,2
FR7140,1,2014-06,256.0,1
FR7140,2,2010-01,1241.0,1
FR7140,2,2011-03,1251.0,2
FR7140,2,2011-04,1332.0,1
FR7140,2,2012-01,1087.0,2
FR7140,2,2012-02,839.5,2
FR7140,2,2012-11,1095.0,1
FR7140,2,2013-01,90.0,1
FR7140,2,2013-03,531.5,2
FR7140,2,2013-04,931.0,2
FR7140,2,2013-12,268.0,1
FR7140,2,2014-01,327.0,1
FR7140,2,2014-02,610.0,1
FR7141,1,2012-03,501.4,5
FR7141,1,2012-04,478.0,1
FR715,1,2013-04,699.5,2
FR716,1,2013-04,681.0,1
FR717,1,2012-04,714.0,1
FR710,1,2013-01,658.0,1
FR710,1,2013-02,658.0,1
FR710,1,2013-03,658.0,1
FR710,1,2013-04,658.0,1
FR710,1,2013-05,658.0,1
FR710,1,2013-06,658.0,1
FR710,2,2013-01,658.0,1
FR710,2,2013-02,658.0,1
FR710,2,2013-03,658.0,1
FR710,2,2013-04,658.0,1
FR710,2,2013-05,658.0,1
FR710,2,2013-06,658.0,1
