holding_of_birth,sexe,period,mean_age_at_death,nb_animals
FR7133,1,2012-12,151.0,1
FR7133,1,2013-03,166.0,1
FR7133,1,2013-09,386.0,2
FR7133,1,2013-10,670.0,2
FR7133,1,2013-11,131.0,1
FR7133,1,2013-12,89.0,1
FR7133,1,2014-01,148.5,6
FR7133,2,2010-10,1103.0,1
FR7133,2,2012-07,1055.0,1
FR7133,2,2012-10,976.0,1
FR7133,2,2012-12,1082.0,1
FR7133,2,2013-01,165.0,1
FR7133,2,2013-08,137.0,1
FR7133,2,2013-09,986.5,2
FR7133,2,2014-01,520.5,2
FR710,1,2013-01,658.0,1
FR710,1,2013-02,658.0,1
FR710,1,2013-03,658.0,1
FR710,1,2013-04,658.0,1
FR710,1,2013-05,658.0,1
FR710,1,2013-06,658.0,1
FR710,2,2013-01,658.0,1
FR710,2,2013-02,658.0,1
FR710,2,2013-03,658.0,1
FR710,2,2013-04,658.0,1
FR710,2,2013-05,658.0,1
FR710,2,2013-06,658.0,1
