holding_of_birth,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06
FR711,0.0,0.0,0.0,0.0,0.0,0.0
FR7117,0.0,0.0,0.0,0.0,0.0,0.0
FR7118,0.0,0.0,0.0,0.0,0.0,0.0
FR712,0.0,0.0,0.0,0.0,0.0,0.0
FR7121,0.0,0.0,0.0,0.0,0.0,0.0
FR7124,0.0,0.0,0.0,0.0,0.0,0.0
FR7125,0.0,0.0,0.0,0.0,0.0,0.0
FR7127,0.0,0.0,0.0,0.0,0.0,0.0
FR713,0.0,0.0,0.0,0.0,0.0,0.0
FR7133,2.0,0.0,0.0,0.0,1.0,0.0
FR7135,0.0,0.0,0.0,0.0,0.0,0.0
FR7137,0.0,0.0,0.0,0.0,0.0,0.0
FR7140,5.0,5.0,6.0,4.0,0.0,0.0
FR7143,0.0,0.0,0.0,0.0,0.0,0.0
FR718,0.0,0.0,0.0,0.0,0.0,0.0
FR719,0.0,0.0,0.0,0.0,0.0,0.0
