holding_of_birth,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06
FR7110,0.0,0.0,0.0,0.0,1.0,0.0
FR7111,0.0,0.0,0.0,0.0,0.0,0.0
FR7112,0.0,0.0,2.0,0.0,0.0,0.0
FR7113,0.0,0.0,0.0,0.0,0.0,0.0
FR7114,0.0,0.0,0.0,0.0,0.0,0.0
FR7115,0.0,0.0,0.0,1.0,0.0,0.0
FR7116,0.0,0.0,2.0,0.0,0.0,0.0
FR7119,0.0,0.0,0.0,0.0,0.0,0.0
FR7120,0.0,0.0,0.0,0.0,0.0,0.0
FR7122,0.0,0.0,0.0,0.0,0.0,0.0
FR7123,0.0,0.0,2.0,1.0,0.0,0.0
FR7128,0.0,0.0,0.0,0.0,0.0,0.0
FR7129,0.0,0.0,0.0,0.0,0.0,0.0
FR7130,0.0,0.0,0.0,0.0,0.0,0.0
FR7131,0.0,0.0,0.0,0.0,0.0,0.0
FR7132,0.0,0.0,0.0,0.0,0.0,0.0
FR7133,1.0,0.0,1.0,0.0,0.0,0.0
FR7134,0.0,0.0,0.0,0.0,0.0,0.0
FR7135,0.0,1.0,0.0,0.0,0.0,0.0
FR7136,0.0,0.0,0.0,0.0,0.0,0.0
FR7138,0.0,0.0,0.0,0.0,0.0,0.0
FR7139,0.0,0.0,0.0,0.0,0.0,0.0
FR714,0.0,0.0,0.0,0.0,0.0,0.0
FR7140,10.0,10.0,5.0,2.0,0.0,0.0
FR7141,0.0,0.0,0.0,0.0,0.0,0.0
FR715,0.0,0.0,0.0,2.0,0.0,0.0
FR716,0.0,0.0,0.0,1.0,0.0,0.0
FR717,0.0,0.0,0.0,0.0,0.0,0.0
