population_id,step,sex_ratio,p_female_kept_for_breeding_D,p_female_kept_for_breeding_B,dairy_dur_J,dairy_dur_NG,beef_dur_J,beef_dur_NG,p_cull_P0_D,p_cull_P1_D,p_cull_P2_D,p_cull_P3_D,p_cull_P4_D,p_cull_P5_D,p_cull_P0_B,p_cull_P1_B,p_cull_P2_B,p_cull_P3_B,p_cull_P4_B,p_cull_P5_B,dairy_Male_dur_Fbirth,dairy_Female_dur_Fbirth,beef_Male_dur_Fbirth,beef_Female_dur_Fbirth,dairy_dur_Fadult,beef_dur_Fadult,p_mor_D,p_mor_B
FR712,0,0.49,0.0,0.0,709,100,814,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,165,658,90,470,288,0.0,0.0
FR712,1,0.49,0.0,0.0,709,100,814,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,165,658,90,470,288,0.0,0.0
FR712,2,0.49,0.0,0.0,709,100,814,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,165,658,90,470,288,0.0,0.0
FR712,3,0.49,0.0,0.0,709,100,814,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,165,658,90,470,288,0.0,0.0
FR712,4,0.49,0.0,0.0,709,100,814,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,165,658,90,470,288,0.0,0.0
FR712,5,0.49,0.0,0.0,763,100,769,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,725,658,522,264,0.0,0.0
FR712,6,0.49,0.0,0.0,763,100,769,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,725,658,522,264,0.0,0.0
FR712,7,0.49,0.0,0.0,763,100,769,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,725,658,522,264,0.0,0.0
FR712,8,0.49,0.0,0.0,763,100,769,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,725,658,522,264,0.0,0.0
FR712,9,0.49,0.0,0.0,763,100,762,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,723,658,558,240,0.0,0.0
FR712,10,0.49,0.0,0.0,763,100,762,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,723,658,558,240,0.0,0.0
FR712,11,0.49,0.0,0.0,763,100,762,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,723,658,558,240,0.0,0.0
FR712,12,0.49,0.0,0.0,763,100,762,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,723,658,558,240,0.0,0.0
FR712,13,0.49,0.0,0.0,763,100,782,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,681,931,522,264,0.0,0.0
FR712,14,0.49,0.0,0.0,763,100,782,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,681,931,522,264,0.0,0.0
FR712,15,0.49,0.0,0.0,763,100,782,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,681,931,522,264,0.0,0.0
FR712,16,0.49,0.0,0.0,763,100,782,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,681,931,522,264,0.0,0.0
FR712,17,0.49,0.0,0.0,763,100,782,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,681,931,522,264,0.0,0.0
FR712,18,0.49,0.0,0.0,817,100,782,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,658,658,540,264,0.0,0.0
FR712,19,0.49,0.0,0.0,817,100,782,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,658,658,540,264,0.0,0.0
FR712,20,0.49,0.0,0.0,817,100,782,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,658,658,540,264,0.0,0.0
FR712,21,0.49,0.0,0.0,817,100,782,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,658,658,540,264,0.0,0.0
FR716,0,0.49,0.0,0.0,709,100,814,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,435,658,470,288,0.0,0.0
FR716,1,0.49,0.0,0.0,709,100,814,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,435,658,470,288,0.0,0.0
FR716,2,0.49,0.0,0.0,709,100,814,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,435,658,470,288,0.0,0.0
FR716,3,0.49,0.0,0.0,709,100,814,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,435,658,470,288,0.0,0.0
FR716,4,0.49,0.0,0.0,709,100,814,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,435,658,470,288,0.0,0.0
FR716,5,0.49,0.0,0.0,763,100,769,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,658,658,522,264,0.0,0.0
FR716,6,0.49,0.0,0.0,763,100,769,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,658,658,522,264,0.0,0.0
FR716,7,0.49,0.0,0.0,763,100,769,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,658,658,522,264,0.0,0.0
FR716,8,0.49,0.0,0.0,763,100,769,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,658,658,522,264,0.0,0.0
FR716,9,0.49,0.0,0.0,763,100,762,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,257,658,558,240,0.0,0.0
FR716,10,0.49,0.0,0.0,763,100,762,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,257,658,558,240,0.0,0.0
FR716,11,0.49,0.0,0.0,763,100,762,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,257,658,558,240,0.0,0.0
FR716,12,0.49,0.0,0.0,763,100,762,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,257,658,558,240,0.0,0.0
FR716,13,0.49,0.0,0.0,763,100,782,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,658,658,522,264,0.0,0.0
FR716,14,0.49,0.0,0.0,763,100,782,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,658,658,522,264,0.0,0.0
FR716,15,0.49,0.0,0.0,763,100,782,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,658,658,522,264,0.0,0.0
FR716,16,0.49,0.0,0.0,763,100,782,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,658,658,658,522,264,0.0,0.0
